م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
18 | 18 | 17 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 18 | ص017 - الاستعمار البريطاني.jpg
19 | 19 | 18 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 19 | ص018 - الاستعمار البريطاني.jpg
20 | 20 | 19 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 20 | ص019 - الاستعمار البريطاني.jpg
21 | 21 | 20 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 21 | ص020 - الاستعمار البريطاني.jpg
22 | 22 | 21 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار البريطاني | PDF page 22 | ص021 - الاستعمار البريطاني.jpg
23 | 23 | 22 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 23 | ص022 - الاستعمار الفرنسي.jpg
24 | 24 | 23 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 24 | ص023 - الاستعمار الفرنسي.jpg
25 | 25 | 24 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 25 | ص024 - الاستعمار الفرنسي.jpg
26 | 26 | 25 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 26 | ص025 - الاستعمار الفرنسي.jpg
27 | 27 | 26 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 27 | ص026 - الاستعمار الفرنسي.jpg
28 | 28 | 27 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 28 | ص027 - الاستعمار الفرنسي.jpg
29 | 29 | 28 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الفرنسي | PDF page 29 | ص028 - الاستعمار الفرنسي.jpg
30 | 30 | 29 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الإيطالي | PDF page 30 | ص029 - الاستعمار الإيطالي.jpg
31 | 31 | 30 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الإيطالي | PDF page 31 | ص030 - الاستعمار الإيطالي.jpg
32 | 32 | 31 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الإيطالي | PDF page 32 | ص031 - الاستعمار الإيطالي.jpg
33 | 33 | 32 | الوحدة الرابعة: الاستعمار الأوروبي والوطن العربي | الاستعمار الإيطالي | PDF page 33 | ص032 - الاستعمار الإيطالي.jpg
