م | رقم صفحة المصدر | رقم الصفحة في الكتاب | القسم/الوحدة | عنوان الدرس/الموضوع | اسم الصورة الأصلي | اسم الصورة الجديد
76 | 76 | 75 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_76.jpg | ص075 - مراحل الحكم العثماني في اليمن.jpg
77 | 77 | 76 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_77.jpg | ص076 - مراحل الحكم العثماني في اليمن.jpg
78 | 78 | 77 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_78.jpg | ص077 - مراحل الحكم العثماني في اليمن.jpg
79 | 79 | 78 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_79.jpg | ص078 - مراحل الحكم العثماني في اليمن.jpg
80 | 80 | 79 | الوحدة الثالثة: اليمن والحكم العثماني | مراحل الحكم العثماني في اليمن | صفحة_80.jpg | ص079 - مراحل الحكم العثماني في اليمن.jpg
81 | 81 | 80 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_81.jpg | ص080 - مقاومة اليمنيين للحكم العثماني.jpg
82 | 82 | 81 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_82.jpg | ص081 - مقاومة اليمنيين للحكم العثماني.jpg
83 | 83 | 82 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_83.jpg | ص082 - مقاومة اليمنيين للحكم العثماني.jpg
84 | 84 | 83 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_84.jpg | ص083 - مقاومة اليمنيين للحكم العثماني.jpg
85 | 85 | 84 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_85.jpg | ص084 - مقاومة اليمنيين للحكم العثماني.jpg
86 | 86 | 85 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_86.jpg | ص085 - مقاومة اليمنيين للحكم العثماني.jpg
87 | 87 | 86 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_87.jpg | ص086 - مقاومة اليمنيين للحكم العثماني.jpg
88 | 88 | 87 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_88.jpg | ص087 - مقاومة اليمنيين للحكم العثماني.jpg
89 | 89 | 88 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_89.jpg | ص088 - مقاومة اليمنيين للحكم العثماني.jpg
90 | 90 | 89 | الوحدة الثالثة: اليمن والحكم العثماني | مقاومة اليمنيين للحكم العثماني | صفحة_90.jpg | ص089 - مقاومة اليمنيين للحكم العثماني.jpg
91 | 91 | 90 | الوحدة الثالثة: اليمن والحكم العثماني | الأطماع البريطانية في اليمن | صفحة_91.jpg | ص090 - الأطماع البريطانية في اليمن.jpg
92 | 92 | 91 | الوحدة الثالثة: اليمن والحكم العثماني | الأطماع البريطانية في اليمن | صفحة_92.jpg | ص091 - الأطماع البريطانية في اليمن.jpg
93 | 93 | 92 | الوحدة الثالثة: اليمن والحكم العثماني | الأطماع البريطانية في اليمن | صفحة_93.jpg | ص092 - الأطماع البريطانية في اليمن.jpg
94 | 94 | 93 | الوحدة الثالثة: اليمن والحكم العثماني | الأطماع البريطانية في اليمن | صفحة_94.jpg | ص093 - الأطماع البريطانية في اليمن.jpg
95 | 95 | 94 | الوحدة الثالثة: اليمن والحكم العثماني | الأطماع البريطانية في اليمن | صفحة_95.jpg | ص094 - الأطماع البريطانية في اليمن.jpg
96 | 96 | 95 | الوحدة الثالثة: اليمن والحكم العثماني | الأطماع البريطانية في اليمن | صفحة_96.jpg | ص095 - الأطماع البريطانية في اليمن.jpg
97 | 97 | 96 | الوحدة الثالثة: اليمن والحكم العثماني | تنافس القوى الخارجية على اليمن | صفحة_97.jpg | ص096 - تنافس القوى الخارجية على اليمن.jpg
98 | 98 | 97 | الوحدة الثالثة: اليمن والحكم العثماني | تنافس القوى الخارجية على اليمن | صفحة_98.jpg | ص097 - تنافس القوى الخارجية على اليمن.jpg
99 | 99 | 98 | الوحدة الثالثة: اليمن والحكم العثماني | تنافس القوى الخارجية على اليمن | صفحة_99.jpg | ص098 - تنافس القوى الخارجية على اليمن.jpg
100 | 100 | 99 | الوحدة الثالثة: اليمن والحكم العثماني | تنافس القوى الخارجية على اليمن | صفحة_100.jpg | ص099 - تنافس القوى الخارجية على اليمن.jpg
